reseau,nom_ville,adresse,email,telephone,url
TransakAuto,Agence ABBEVILLE,"16 ROUTE D'HESDIN, 80100 ABBEVILLE",abbeville@transakauto.com,06 88 45 86 61,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-abbeville
TransakAuto,Agence AGEN,"356 ZAC LA ROUBIAGUE, 47390 LAYRAC",agen@transakauto.com,05 35 55 94 20,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-agen
TransakAuto,Agence AIX EN PROVENCE NORD,"2 AVENUE MADELEINE BONNAUD, 13770 VENELLES",aixenprovencenord@transakauto.com,06 82 75 07 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-aix-en-provence-nord
TransakAuto,Agence AIX EN PROVENCE SUD,"55 RUE LOUIS ARMAND, POLE D'ACTIVITÉ DES MILLES, 13290 AIX-EN-PROVENCE",aixenprovencesud@transakauto.com,06 26 33 48 82,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-aix-en-provence-sud
TransakAuto,Agence ALBERTVILLE,"870 AVENUE JOSEPH FONTANET, 73200 ALBERTVILLE",albertville@transakauto.com,04 79 85 22 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-albertville
TransakAuto,Agence ALBI,"91 ROUTE DE CASTRES, 81990 PUYGOUZON",albi@transakauto.com,05 63 43 45 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-albi
TransakAuto,Agence ALENCON,"84 RUE DE BRETAGNE, 61000 ALENCON",alencon@transakauto.com,02 59 16 18 24,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-alencon
TransakAuto,Agence ALES,"1281 ROUTE D'ALES, 30140 BAGARD",ales@transakauto.com,04 66 56 15 17,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-ales
TransakAuto,Agence AMIENS,"94 CHAMP L'ENGUILLON, 80470 SAINT-SAUVEUR",tskamiens@gmail.com,06 33 82 22 68,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-amiens
TransakAuto,Agence ANCENIS,"ZI DE L'AUFRESNES, 46 RUE ANDRE AMPERE, 44150 ANCENIS SAINT GERON",ancenis@transakauto.com,07 62 18 56 55,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-ancenis
TransakAuto,Agence ANGERS,"216 PASSAGE DES BANCHAIS, 49100 ANGERS",angers@transakauto.com,07 45 29 77 94,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-angers
TransakAuto,Agence ANGLET,"14 RUE DE L'INDUSTRIE, 64600 ANGLET",anglet@transakauto.com,05 59 74 15 78,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-anglet
TransakAuto,Agence ANNECY,"140 RUE DE NOVUS PARC, 74330 POISY",annecy@transakauto.com,04 65 84 84 79,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-annecy
TransakAuto,Agence ANNEMASSE,"38 CHEMIN DES FONTAINES, 74100 VETRAZ MONTHOUX",annemasse@transakauto.com,04 50 74 31 20,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-annemasse
TransakAuto,Agence ANTHON,"25 ROUTE DE BELMONT, 38230 CHAVANOZ",anthon@transakauto.com,06 88 50 52 98,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-anthon
TransakAuto,Agence ANTIBES,"104 ROUTE DE LA BADINE, 06600 ANTIBES",antibes@transakauto.com,04 93 61 62 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-antibes
TransakAuto,Agence ARCACHON,"4 AVENUE DE L'ELLIPSE, ZONE TECHNOPARC, 33470 LE TEICH",arcachon@transakauto.com,05 29 19 34 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arcachon
TransakAuto,Agence ARLES,"18 CHEMIN DU TROU DE FOURQUES, 13200 ARLES",arles@transakauto.com,04 90 96 06 44,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arles
TransakAuto,Agence ARRAS,"3 RUE KEPLER CRÉARTOIS, 62223 SAINT-LAURENT-BLANGY",arras@transakauto.com,03 21 23 65 31,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arras
TransakAuto,Agence AUCH,"82 ROUTE D'AGEN, 32000 AUCH",auch@transakauto.com,06 85 79 80 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-auch
TransakAuto,Agence AUXERRE,"RUE ROBERT RACLOT, 89290 CHAMPS SUR YONNE",auxerre@transakauto.com,03 86 52 19 99,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-auxerre
TransakAuto,Agence AVIGNON,"2100 ROUTE DES MORIERES, 84000 AVIGNON",avignonsud@transakauto.com,04 90 27 16 32,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-avignon
TransakAuto,Agence BASTIA,"78 rue Pierre Cahuzac, 20600 BASTIA",bastia@transakauto.com,0458284194,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bastia
TransakAuto,Agence BEAUVAIS,"26 AVENUE SALVADOR ALLENDE, 60000 BEAUVAIS",tskbeauvais@gmail.com,03 65 65 92 35,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-beauvais
TransakAuto,Agence BEGARD,"ZA DE COAT YEN, 22140 BEGARD",guingamp@transakauto.com,02 96 13 72 59,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-guingamp
TransakAuto,Agence BERGERAC,"66 AVENUE DE LA ROQUE, 24100 CREYSSE",bergerac@transakauto.com,05 53 23 69 97,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bergerac
TransakAuto,Agence BESANCON,"17 AVENUE DU COMMANDANT MARCEAU, 25000 BESANCON",besancon@transakauto.com,07 84 08 86 65,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-besancon
TransakAuto,Agence BETHUNE,"501 RUE ERIC TABARLY, 62700 BRUAY-LA-BUISSIERE",bethune@transakauto.com,06 89 16 87 29,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bethune
TransakAuto,Agence BEZIERS,"7 RUE DES ANCIENNES CARRIERES, 34400 COLOMBIERS",beziers@transakauto.com,09 51 98 29 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-beziers
TransakAuto,Agence BIDART &#8211; SAINT-JEAN-DE-LUZ,"70 RUE DU BASSILOUR, 64210 BIDART",bidart@transakauto.com,06 70 66 68 54,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-bidart
