agence,ville,adresse,code_postal,email,telephone,url,region
Agence ABBEVILLE,ABBEVILLE,16 ROUTE D'HESDIN,80100,abbeville@transakauto.com,06 88 45 86 61,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-abbeville,Hauts-de-France
Agence AGEN,LAYRAC,356 ZAC LA ROUBIAGUE,47390,agen@transakauto.com,05 35 55 94 20,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-agen,Occitanie
Agence AIX EN PROVENCE NORD,VENELLES,2 AVENUE MADELEINE BONNAUD,13770,aixenprovencenord@transakauto.com,06 82 75 07 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-aix-en-provence-nord,Provence-Alpes-Côte d'Azur
Agence AIX EN PROVENCE SUD,AIX-EN-PROVENCE,"55 RUE LOUIS ARMAND, POLE D'ACTIVITÉ DES MILLES",13290,aixenprovencesud@transakauto.com,06 26 33 48 82,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-aix-en-provence-sud,Provence-Alpes-Côte d'Azur
Agence ALBERTVILLE,ALBERTVILLE,870 AVENUE JOSEPH FONTANET,73200,albertville@transakauto.com,04 79 85 22 83,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-albertville,Auvergne-Rhône-Alpes
Agence ALBI,PUYGOUZON,91 ROUTE DE CASTRES,81990,albi@transakauto.com,05 63 43 45 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-albi,Occitanie
Agence ALENCON,ALENCON,84 RUE DE BRETAGNE,61000,alencon@transakauto.com,02 59 16 18 24,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-alencon,Normandie
Agence ALES,BAGARD,1281 ROUTE D'ALES,30140,ales@transakauto.com,04 66 56 15 17,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-ales,Occitanie
Agence AMIENS,SAINT-SAUVEUR,94 CHAMP L'ENGUILLON,80470,tskamiens@gmail.com,06 33 82 22 68,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-amiens,Hauts-de-France
Agence ANCENIS,ANCENIS SAINT GERON,"ZI DE L'AUFRESNES, 46 RUE ANDRE AMPERE",44150,ancenis@transakauto.com,07 62 18 56 55,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-ancenis,Pays de la Loire
Agence ANGERS,ANGERS,216 PASSAGE DES BANCHAIS,49100,angers@transakauto.com,07 45 29 77 94,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-angers,Pays de la Loire
Agence ANGLET,ANGLET,14 RUE DE L'INDUSTRIE,64600,anglet@transakauto.com,05 59 74 15 78,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-anglet,Nouvelle-Aquitaine
Agence ANNECY,POISY,140 RUE DE NOVUS PARC,74330,annecy@transakauto.com,04 65 84 84 79,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-annecy,Auvergne-Rhône-Alpes
Agence ANNEMASSE,VETRAZ MONTHOUX,38 CHEMIN DES FONTAINES,74100,annemasse@transakauto.com,04 50 74 31 20,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-annemasse,Auvergne-Rhône-Alpes
Agence ANTHON,CHAVANOZ,25 ROUTE DE BELMONT,38230,anthon@transakauto.com,06 88 50 52 98,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-anthon,Auvergne-Rhône-Alpes
Agence ANTIBES,ANTIBES,104 ROUTE DE LA BADINE,06600,antibes@transakauto.com,04 93 61 62 12,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-antibes,Provence-Alpes-Côte d'Azur
Agence ARCACHON,LE TEICH,"4 AVENUE DE L'ELLIPSE, ZONE TECHNOPARC",33470,arcachon@transakauto.com,05 29 19 34 85,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arcachon,Nouvelle-Aquitaine
Agence ARLES,ARLES,18 CHEMIN DU TROU DE FOURQUES,13200,arles@transakauto.com,04 90 96 06 44,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arles,Provence-Alpes-Côte d'Azur
Agence ARRAS,SAINT-LAURENT-BLANGY,3 RUE KEPLER CRÉARTOIS,62223,arras@transakauto.com,03 21 23 65 31,https://annonces.transakauto.com/concessionnaire-voiture-occasion/agence-arras,Hauts-de-France
