reseau,agence,agence_ville,agence_cp,ville_cible,cp_cible,population,distance_km
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Abbeville,80100,22395,2.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Buigny-Saint-Maclou,80132,514,2.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Drucat,80132,887,2.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Caours,80132,548,3.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Grand-Laviers,80132,465,3.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Hautvillers-Ouville,80132,527,4.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neufmoulin,80132,368,5.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Vauchelles-les-Quesnoy,80132,815,5.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cambron,80132,740,5.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Neuilly-l'Hôpital,80132,334,5.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Millencourt-en-Ponthieu,80135,337,5.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Yonval,80132,243,5.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Port-le-Grand,80132,268,6.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Épagne-Épagnette,80580,510,6.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Lamotte-Buleux,80150,328,6.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Mareuil-Caubert,80132,840,6.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bellancourt,80132,494,6.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Le Titre,80132,332,6.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Canchy,80150,348,7.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Sailly-Flibeaucourt,80970,991,7.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Eaucourt-sur-Somme,80580,357,7.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Cahon,80132,222,7.6
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saint-Riquier,80135,1279,7.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Forest-l'Abbaye,80150,314,8.1
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Agenvillers,80150,215,8.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Saigneville,80230,344,8.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Moyenneville,80870,693,8.4
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Buigny-l'Abbé,80132,341,8.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Bray-lès-Mareuil,80580,249,8.9
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Domvast,80150,333,9.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Huchenneville,80132,679,9.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Miannay,80132,604,9.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Pont-Remy,80580,1438,9.5
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Gapennes,80150,270,9.7
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Érondelle,80580,504,10.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Francières,80690,176,10.0
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Nouvion,80860,1196,10.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Noyelles-sur-Mer,80860,636,10.2
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Béhen,80870,500,10.3
TransakAuto,Agence ABBEVILLE,Abbeville,80100,Oneux,80135,434,10.6
