ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Paris,75001,2103778,3.8,Simplicicar,paris-15,12
Marseille,13001,886040,18.7,Simplicicar,marignane,3
Lyon,69001,519127,4.1,AgenceAuto,lyon,9
Toulouse,31000,514819,6.6,TransakAuto,Agence TOULOUSE EST,6
Nice,06000,357737,0.6,Simplicicar,nice,5
Nantes,44000,327734,6.8,TransakAuto,Agence NANTES NORD,2
Montpellier,34000,310240,3.2,Simplicicar,montpellier,5
Strasbourg,67000,293771,6.4,AgenceAuto,strasbourg-nord,3
Bordeaux,33000,267991,2.4,TransakAuto,Agence LAON,6
Lille,59000,238246,3.6,Simplicicar,lille,6
Rennes,35000,230890,4.4,AgenceAuto,rennes-nord,3
Toulon,83000,179116,7.2,TransakAuto,Agence TOULON,1
Reims,51100,177674,4.9,TransakAuto,Agence REIMS,2
Saint-Étienne,42000,173136,5.1,TransakAuto,Agence SAINT ETIENNE,3
Le Havre,76600,166687,5.4,TransakAuto,Agence LE HAVRE,1
Villeurbanne,69100,163684,3.4,AgenceAuto,lyon,9
Dijon,21000,161830,3.5,AgenceAuto,dijon,3
Angers,49000,159022,3.1,TransakAuto,Agence ANGERS,3
Grenoble,38000,156140,1.4,TransakAuto,Agence GRENOBLE OUEST,3
Saint-Denis,97400,155634,8.0,TransakAuto,"Agence SAINT-DENIS, REUNION",1
Nîmes,30000,151839,2.1,Simplicicar,nimes,4
Aix-en-Provence,13080,149695,5.5,TransakAuto,Agence AIX EN PROVENCE SUD,6
Saint-Denis,93200,149077,5.2,TransakAuto,Agence ENGHIEN-LES-BAINS,8
Clermont-Ferrand,63000,146351,4.0,TransakAuto,Agence CLERMONT FERRAND SUD,1
Le Mans,72000,146249,0.9,TransakAuto,Agence LE MANS,1
Brest,29200,142346,2.4,AgenceAuto,brest,3
Tours,37000,139259,6.2,AgenceAuto,tours,3
Amiens,80000,136449,5.0,AgenceAuto,amiens,2
Annecy,74000,132117,3.1,Simplicicar,annecy,3
Limoges,87000,129937,1.5,AgenceAuto,limoges,2
Metz,57000,122572,3.9,AgenceAuto,metz,3
Perpignan,66000,121616,4.4,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,2
Boulogne-Billancourt,92100,119019,4.3,Simplicicar,paris-15,12
